No,ST_NAME_E,ST_NAME_K,ST_CODE,Control_og,BS_CODE,Gage_type,River_system,EL_m,Time_Siries,Daily_Siries,Longitude,Latitude,Longitude_dms,Latitude_dms,X_EPSG5186,Y_EPSG5186
694,Mudeungsan,무등산,50014040,MOLIT,500107,T/M,Yeongsangang,520,1991Y 01M?~ 2013Y 08M,1991Y 06M?~ 2013Y 08M,127.0005556,35.1125,127-00-02,35-06-45,200050.650190843,279575.813249239
695,Damyang daem,담양댐,50014050,MOLIT,500101,T/M,Yeongsangang,100,1991Y 01M?~ 2012Y 11M,1991Y 06M?~ 2012Y 11M,127.0138889,35.37333333,127-00-50,35-22-24,201262.106641411,308514.063331327
696,Samji,삼지,50014060,MOLIT,500103,T/M,Yeongsangang,34.2,2003Y 08M?~ 2013Y 08M,2003Y 08M?~ 2013Y 08M,126.9375,35.2675,126-56-15,35-16-03,194313.119168922,296773.933025466
697,Jangseong,장성,50024010,MOLIT,500202,basic,Yeongsangang,,1980Y 06M?~ 1991Y 12M,1965Y 01M?~ 1998Y 12M,126.8077778,35.31722222,126-48-28,35-19-02,182520.366847904,302305.571218496
698,Buk-i,북이,50024020,MOLIT,500202,T/M,Yeongsangang,240,1980Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,126.7755556,35.44333333,126-46-32,35-26-36,179621.987030378,316303.485464442
699,Jangseong daem,장성댐,50024030,MOLIT,500201,T/M,Yeongsangang,240,1991Y 01M?~ 2012Y 12M,1991Y 06M?~ 2012Y 12M,126.8197222,35.35444444,126-49-11,35-21-16,183614.041585358,306433.220761571
700,Naju daem,나주댐,50034030,MOLIT,500304,T/M,Yeongsangang,50,1991Y 01M?~ 2013Y 08M,1991Y 06M?~ 2013Y 08M,126.8469444,34.96055556,126-50-49,34-57-38,186021.127054285,262729.606711217
701,Neungju,능주,50034040,MOLIT,500306,T/M,Yeongsangang,30,1980Y 06M?~ 2013Y 08M,1965Y 04M?~ 2013Y 08M,126.8991667,35.00083333,126-53-57,35-00-03,190795.20428631,267191.978520644
702,Ijang,이장,50034050,MOLIT,500307,T/M,Yeongsangang,54,2000Y 12M?~ 2013Y 08M,2000Y 12M?~ 2013Y 08M,126.8683333,35.08305556,126-52-06,35-04-59,187992.542160677,276317.10709671
703,Dongmyeon,동면,50034060,MOLIT,500303,T/M,Yeongsangang,100,2000Y 12M?~ 2013Y 08M,2000Y 12M?~ 2013Y 08M,127.0436111,35.02805556,127-02-37,35-01-41,203979.818288208,270208.259063135
704,Cheongpoong,청풍,50034070,MOLIT,500301,T/M,Yeongsangang,106,2000Y 12M?~ 2013Y 08M,2000Y 12M?~ 2013Y 08M,126.9733333,34.87222222,126-58-24,34-52-20,197561.867521341,252919.616022716
705,Yeongsanpo,영산포,50044010,MOLIT,500402,basic,Yeongsangang,,1980Y 08M?~ 1991Y 12M,1965Y 01M?~ 1998Y 12M,126.7983333,34.99388889,126-47-54,34-59-38,181588.834342357,266435.49468749
706,Doam,도암,50044020,MOLIT,500402,basic,Yeongsangang,,1980Y 07M?~ 1991Y 11M,1965Y 01M?~ 1998Y 12M,126.7322222,34.98444444,126-43-56,34-59-04,175550.398765509,265401.90007863
707,Donggok,동곡,50044030,MOLIT,500401,T/M,Yeongsangang,20,1991Y 01M?~ 2013Y 08M,1991Y 06M?~ 2013Y 08M,126.7752778,35.09472222,126-46-31,35-05-41,179509.172316476,277626.605265984
